Codice;Codici produttore;Descrizione;Descrizione estesa;Marca;Modello;Anno;Categoria - SC Ricambi
18351;51878547 51929773;SERRATURA ANTERIORE DESTRA LANCIA DELTA;SERRATURA PORTA ANTERIORE DESTRA DX LATO PASSEGGERO 51878547 51929773 51809112;LANCIA;DELTA;2012;Parti carrozzeria e cristalli
18352;156079296 156060089;MANIGLIA POSTERIORE DESTRA ALFA ROMEO 159;MANIGLIA ESTERNA PORTA POSTERIORE DESTRA DX 156079296 156060089;ALFA ROMEO;159;2005;Parti carrozzeria e cristalli
18358;50504313;CABLAGGIO PORTA POSTERIORE DESTRA ALFA ROMEO 159;INSIEME CAVI CABLAGGIO PORTA POSTERIORE DESTRA DX 50504313;ALFA ROMEO;159;2005;Parti carrozzeria e cristalli
18359;;ALZAVETRO PORTA ANTERIORE DESTRA FIAT DUCATO;ALZAVETRO ALZACRISTALLI PORTA ANTERIORE DESTRA DX;FIAT PROFESSIONAL;DUCATO;2014;Parti carrozzeria e cristalli
18360;52025000 51935801;ALZAVETRO PORTA POSTERIORE SINISTRA LANCIA YPSILON;ALZAVETRO ALZACRISTALLI PORTA POSTERIORE SINISTRA SX 52025000 51935801;LANCIA;Y;2017;Parti carrozzeria e cristalli
18361;50504315;CABLAGGIO PORTA POSTERIORE SINISTRA ALFA ROMEO 159;INSIEME CAVI CABLAGGIO PORTA POSTERIORE SINISTRA SX 50504315;ALFA ROMEO;159;2005;Parti carrozzeria e cristalli
18363;54934A1 156054468;MANIGLIA INTERNA POSTERIORE SINISTRA ALFA 159;MANIGLIA INTERNA PORTA POSTERIORE SINISTRA POST SX 156043463 54934A1 156054468;ALFA ROMEO;159;2005;Parti carrozzeria e cristalli
18368;4T16-V23943-LHS;PANNELLO PORTA SINISTRO FORD TRANSIT CONNECT;PANNELLO RIVESTIMENTO INTERNO PORTA ANTERIORE SINISTRA SX (LATO GUIDATORE) 4T16-V23943-LHS;FORD;TRANSIT CONNECT;2006;Arredamenti interni e sedili
18378;51876507;GUARNIZIONE PORTA ANTERIORE DESTRA DX LANCIA DELTA;GUARNIZIONE GUIDA VETRO LANCIA DELTA PORTA ANTERIORE DESTRA ANT DX 51809108 51876507;LANCIA;DELTA;2012;Accessori esterni carrozzeria
18379;1560736270;PANNELLO POSTERIORE SINISTRO ALFA ROMEO 159;PANNELLO POSTERIORE SINISTRO ALFA ROMEO 159 1560736270 SENZA BINARIO ALZAVETRO PORTA POSTERIORE SINISTRA SX LATO GUIDA;ALFA ROMEO;159;2005;Parti carrozzeria e cristalli
18385;;PORTELLONE OPEL ASTRA J;PORTELLONE OPEL ASTRA J COFANO POSTERIORE COMPLETO DI LUNOTTO;OPEL;ASTRA;2011;Parti carrozzeria e cristalli
18391;;PORTA ANTERIORE SINISTRA ANT SX OPEL ASTRA J;PORTA SPORTELLO ANTERIORE SINISTRA SX;OPEL;ASTRA;2011;Parti carrozzeria e cristalli
18396;;PORTA POSTERIORE SINISTRA SX RENAULT MEGANE 3;PORTA POSTERIORE SINISTRA SX RENAULT MEGANE 3 SERIE PORTIERA SPORTELLO POSTERIORE LATO GUIDA POST SX;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18402;;VETRO POSTERIORE SINISTRO NISSAN XTRAIL;VETRO SCENDENTE POSTERIORE SINISTRO SX;NISSAN;X-TRAIL;2015;Parti carrozzeria e cristalli
18403;;VETRO ANTERIORE DESTRO RENAULT MEGANE 3;VETRO SCENDENTE ANTERIORE DESTRO DX;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18405;;VETRO POSTERIORE SINISTRO RENAULT MEGANE 3;VETRO SCENDENTE POSTERIORE SINISTRO POST SX;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18425;826730001R;MANIGLIA PORTA SINISTRA RENAULT MEGANE 3;MANIGLIA INTERNA PORTA SINISTRA SX CABRIO CABRIOLET 826730001R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18428;805020001R;SERRATURA ANTERIORE DESTRA RENAULT MEGANE 3;SERRATURA PORTA ANTERIORE DESTRA DX 805020001R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18436;988330002R;SENSORE AIRBAG RENAULT MEGANE 3;SENSORE AIRBAG 988330002R;RENAULT;MEGANE;2011;Apparecchiature e comandi elettrici
18438;241264078R;CABLAGGIO PORTA POSTERIORE DESTRA RENAULT CLIO 4;INSIEME CAVI CABLAGGIO PORTA POSTERIORE DESTRA DX 241264078R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18439;241257028R;CABLAGGIO PORTA ANTERIORE DESTRA RENAULT CLIO 4;INSIEME CAVI CABLAGGIO PORTA ANTERIORE DESTRA DX 241257028R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18440;241276974R;CABLAGGIO PORTA POSTERIORE SX RENAULT MEGANE 3;INSIEME CAVI CABLAGGIO PORTA POSTERIORE SINISTRA SX 241276974R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18441;241242022R;CABLAGGIO PORTA ANTERIORE DESTRA MEGANE 3;INSIEME CAVI CABLAGGIO PORTA ANTERIORE DESTRA DX 241242022R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18442;241242438R;CABLAGGIO PORTA ANTERIORE SX RENAULT MEGANE 3;INSIEME CAVI CABLAGGIO PORTA ANTERIORE SINISTRA SX CABRIOLET CABRIO 241242438R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18443;241250959R;CABLAGGIO PORTA ANTERIORE DESTRA RENAULT MEGANE 3;INSIEME CAVI CABLAGGIO PORTA ANTERIORE DESTRA DX 241250959R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18447;53425549 53328741 53103951;IMPIANTO AUDIO ORIGINALE PER JEEP COMPASS;SISTEMA AUDIO COMPLETO DI AMPLIFICATORE JEEP COMPASS 53425549 68312125AB, CASSA SUBWOOFER 53328741 68245819AA E CASSE ALTOPARLANTI STEREO 53103951 05064358AB (TUTTO ORIGINALE COME NUOVO);JEEP;COMPASS;2021;Apparecchiature e comandi elettrici
18448;8044306179R;TIRANTE PORTA ANTERIORE DESTRA RENAULT CLIO 4;TIRANTE FERMAPORTA ARRESTOPORTA ANTERIORE DESTRA DX 8044306179R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18450;827210003R;ALZAVETRO PORTA POSTERIORE SINISTRA MEGANE 3;ALZAVETRO ALZACRISTALLI PORTA POSTERIORE SINISTRA SX 827210003R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18451;808634178R;PANNELLO INTERNO PORTA ANT SX RENAULT MEGANE 3;ISOLAMENTO INSONORIZZATORE INTERNO PORTA ANTERIORE SINISTRA SX 808634178R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18453;988330002R;SENSORE AIRBAG RENAULT MEGANE 3;SENSORE AIRBAG 988330002R;RENAULT;MEGANE;2011;Apparecchiature e comandi elettrici
18459;825002104R;SERRATURA POSTERIORE DESTRA RENAULT CLIO 4;SERRATURA PORTA POSTERIORE DESTRA DX 825002104R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18464;231A08869R;CENTRALINA CHIUSURA CENTRALIZZATA RENAULT CLIO 4;CENTRALINA CHIUSURA ELETTRONICA CENTRALIZZATA PORTE 231A08869R;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18466;248108440R;QUADRO STRUMENTI RENAULT CLIO 4 1.5 DCI;QUADRO STRUMENTI CONTACHILOMETRI 1.5 DCI 248108440R;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18468;;CAMBIO AUTOMATICO JEEP COMPASS 1.3 FIREFLY GSE;CAMBIO AUTOMATICO 1.3 GSE 110KW 150CV 800 KM PERCORSI ORIGINALE PARI AL NUOVO;JEEP;COMPASS;2020;Cambio e trasmissioni
18470;251900567R;PULSANTIERA REGOLAZIONE FARI RENAULT CLIO 4;GRUPPO COMANDI REGOLAZIONE ALTEZZA FARI ,ILLUMINAZIONE INTERNA E PULSANTE ON/OFF SENSORI DI PARCHEGGIO (PARK ASSIST) 1302734X 251900567R PA66GF20;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18472;285908018R 487004399R;LETTORE CHIAVE E BLOCCASTERZO RENAULT CLIO 4;LETTORE CHIAVE CLIO 4 285908018R CON CENTRALINA BLOCCASTERZO, CHIAVE E PULSANTE ACCENSIONE 487004399R 506978R;RENAULT;CLIO 4;2015;Sterzo
18477;82503000;SERRATURA POSTERIORE SINISTRA RENAULT MEGANE 3;SERRATURA PORTA POSTERIORE SINISTRA SX 82503000;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18492;827310002R;ALZAVETRO POSTERIORE SINISTRO RENAULT MEGANE 3;MOTORINO ALZAVETRO ALZACRISTALLI PORTA POSTERIORE SINISTRA 827310002R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18494;156024250A;PULSANTE ALZAVETRO PORTA POST SX RENAULT MEGANE 3;PULSANTE ALZAVETRO ALZACRISTALLI PORTA POSTERIORE SINISTRA 156024250A;RENAULT;MEGANE;2011;Apparecchiature e comandi elettrici
18499;826720001R;MANIGLIA INTERNA ANTERIORE DESTRA RENAULT MEGANE 3;MANIGLIA INTERNA PORTA ANTERIORE DESTRA 826720001R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18502;988330002R;SENSORE AIRBAG RENAULT MEGANE 3;SENSORE AIRBAG 988330002R;RENAULT;MEGANE;2011;Apparecchiature e comandi elettrici
18509;807205569R;ALZAVETRO PORTA ANTERIORE DESTRA RENAULT CLIO 4;MOTORINO ALZAVETRO ALZACRISTALLI PORTA ANTERIORE DESTRA CLIO 4 POST DX 128001471B 807205569R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18510;827008880R;ALZAVETRO POSTERIORE DESTRO RENAULT CLIO 4;MOTORINO ALZAVETRO ALZACRISTALLI PORTA POSTERIORE DESTRA CLIO 4 128001471B 827008880R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18511;807018534R;ALZAVETRO ANTERIORE SINISTRO RENAULT CLIO 4;MOTORINO ALZAVETRO ALZACRISTALLI PORTA ANTERIORE SINISTRA CLIO 4 128001502B 807018534R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18514;;VETRO FISSO POSTERIORE SINISTRO RENAULT MEGANE 3;VETRO FISSO PORTA POSTERIORE SINISTRA POST SX 822210016R;RENAULT;MEGANE;2011;Parti carrozzeria e cristalli
18517;829A10130R;PANNELLO PORTA POSTERIORE SX RENAULT MEGANE 3;PANNELLO INTERNO PORTA POSTERIORE SINISTRA POST SX 829A10130R;RENAULT;MEGANE;2011;Arredamenti interni e sedili
18519;13334053;AUTORADIO OPEL ASTRA J;MODULO AUTORADIO OPEL ASTRA J 13334053 CON LETTORE CD E PREDISPOSIZIONE CAVO AUX;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18520;13337218 13337697;CENTRALINA COMANDI CLIMA AUTORADIO OPEL ASTRA J;CENTRALINA 13337218 13337697 COMANDI CLIMA AUTORADIO E PULSANTE ASR ANTIPATTINAMENTO;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18521;13500980 20817720;CONTATTO SPIRALATO OPEL ASTRA J;CONTATTO SPIRALATO OPEL ASTRA J 13500980 20817720 90T0557C;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18522;13305522 13303268;DEVIOLUCI DEVIOTERGI OPEL ASTRA 2009;DEVIOLUCI DEVIOTERGI 13305522 13303268;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18523;55563829;LEVA CAMBIO OPEL ASTRA J;LEVA CAMBIO MANUALE 6 MARCE 55563829;OPEL;ASTRA;2011;Cambio e trasmissioni
18524;565412769 13285122 13267984;DISPLAY CENTRALE AUTORADIO OPEL ASTRA J;DISPLAY SCHERMO CENTRALE AUTORADIO CON PULSANTI QUATTRO FRECCE, APERTURA E CHIUSURA CENTRALIZZATA PORTE E SEGNALAZIONE CINTURE DI SICUREZZA 565412769 13285122 13267984;OPEL;ASTRA;2011;Arredamenti interni e sedili
18531;5N0959704F;MOTORINO ALZAVETRO POSTERIORE DX VOLKSWAGEN TIGUAN;MOTORINO ALZAVETRO ALZACRISTALLI PORTA POSTERIORE DESTRA DX 5N0959704F;VOLKSWAGEN;TIGUAN;2011;Parti carrozzeria e cristalli
18535;13268702 13257557;PULSANTIERA COMANDO LUCI ESTERNE OPEL ASTRA J;PULSANTIERA INTERRUTTORE COMANDO REGOLAZIONE ALTEZZA FARI, LUMINOSITA LUCI CRUSCOTTO, LUCI DI POSIZIONE, ANABBAGLIANTI, FENDINEBBIA ANTERIORE E POSTERIORE 13268702 13257557;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18536;758902935R;SOTTOMOTORE RENAULT CLIO 4;RIPARO SOTTOMOTORE CLIO 4 758902935R CARTER INFERIORE MOTORE 1.5 DCI;RENAULT;CLIO 4;2015;Traino e ripari
18539;13300559;BOCCHETTA DIFFUSORE ARIA DX OPEL ASTRA J;BOCCHETTA DIFFUSORE ARIA AREAZIONE CRUSCOTTO DX DIFFUSORE LATO PASSEGGERO 13300559 07524002 07528001;OPEL;ASTRA;2011;Arredamenti interni e sedili
18540;769317420U;QUADRO STRUMENTI OPEL ASTRA J 1.7 CDTI;QUADRO STRUMENTI CONTACHILOMETRI OPEL ASTRA J 1.7 CDTI 110CV 81KW 769317420U 769166750U;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18543;13258640 133301888;PULSANTE ALZAVETRO PORTA POST DESTRA OPEL ASTRA J;PULSANTE ALZAVETRO ALZACRISTALLI PORTA POSTERIORE DESTRA 13258640 133301888;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18545;13284608;CABLAGGIO PORTA POSTERIORE DESTRA OPEL ASTRA J;INSIEME CAVI CABLAGGIO PORTA POSTERIORE DESTRA 13284608;OPEL;ASTRA;2011;Parti carrozzeria e cristalli
18546;616569200B;CINTURA DI SICUREZZA POSTERIORE OPEL ASTRA J;CINTURA POSTERIORE LATERALE DESTRA DX E SINISTRA SX 616569200B;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18548;1851827 498951029;RIVESTIMENTO PIANTONE STERZO OPEL ASTRA J;RIVESTIMENTO PIANTONE STERZO 1851827 498951029;OPEL;ASTRA;2011;Arredamenti interni e sedili
18552;53325799;PASSARUOTA POSTERIORE SINISTRO JEEP COMPASS;PASSARUOTA POSTERIORE SINISTRO SX 53325799;JEEP;COMPASS;2021;Traino e ripari
18553;14096401RH;MANIGLIA POSTERIORE DESTRA OPEL ASTRA J;MANIGLIA ESTERNA PORTA POSTERIORE DESTRA DX 14096401RH;OPEL;ASTRA;2011;Parti carrozzeria e cristalli
18555;13270612;TIRANTE PORTA POSTERIORE DESTRA OPEL ASTRA J;TIRANTE ARRESTOPORTA POSTERIORE DESTRA POST DX 13270612;OPEL;ASTRA;2011;Parti carrozzeria e cristalli
18556;13272777;SCATOLA FILTRO ARIA OPEL ASTRA J 1.7 CDTI;SCATOLA CASSA FILTRO ARIA 13272777 1.7 CDTI 81KW 110CV;OPEL;ASTRA;2011;Aspirazione, iniezione e scarico
18557;;SERRATURA POSTERIORE DESTRA OPEL ASTRA J;SERRATURA PORTA POSTERIORE DESTRA DX;OPEL;ASTRA;2011;Parti carrozzeria e cristalli
18559;13317404T 498951029;TUNNEL CENTRALE OPEL ASTRA J;TUNNEL MOBILETTO CENTRALE CON PULSANTE FRENO DI STAZIONAMENTO 13317404T 13317405TAL 13317406V 13317407VAL 498951029 498951029;OPEL;ASTRA;2011;Arredamenti interni e sedili
18563;13264884 13260072;GUARNIZIONE GUIDA VETRO PORTA POST DX OPEL ASTRA J;GUARNIZIONE GUIDA VETRO CON RASCHIAVETRO (CROMATO) 13264884RH 13260072;OPEL;ASTRA;2011;Accessori esterni carrozzeria
18566;13222786;CENTRALINA PORTA FUSIBILI OPEL ASTRA J;CENTRALINA PORTA FUSIBILI 13222786 1.7 CDTI;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18567;13328668 13251806;PIANTONE STERZO OPEL ASTRA J;PIANTONE STERZO 13328668 13251806 CON GIUNTO INFERIORE;OPEL;ASTRA;2011;Sterzo
18569;13259130 13259131;RIVESTIMENTO CRUSCOTTO OPEL ASTRA J;MODANATURA RIVESTIMENTO LATERALE CRUSCOTTO OPEL ASTRA J SINISTRO SX E DESTRO DX 13259130 13259131;OPEL;ASTRA;2011;Arredamenti interni e sedili
18574;13262701;RIVESTIMENTO SINISTRO TUNNEL CENTRALE OPEL ASTRA J;MODANATURA RIVESTIMENTO SINISTRO SX CRUSCOTTO TUNNEL CENTRALE 13262701;OPEL;ASTRA;2011;Arredamenti interni e sedili
18577;13286434 1757406;PORTAOGGETTI CON AUX OPEL ASTRA J;PORTAOGGETTI OPEL ASTRA J CON PRESA ACCENDI SIGARI 12V E INGRESSO AUX 13286434 1757406;OPEL;ASTRA;2011;Arredamenti interni e sedili
18578;13340389;CENTRALINA CLIMA STUFA OPEL ASTRA J;CENTRALINA MODULO DI CONTROLLO CLIMA STUFA 13340389;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18582;13262607;CASSETTO VANO PORTAOGGETTI DESTRO OPEL ASTRA J;CASSETTO VANO PORTAOGGETTI INFERIORE DESTRO DX SU PLANCIA CRUSCOTTO LATO PASSEGGERO 13262607;OPEL;ASTRA;2011;Arredamenti interni e sedili
18584;13251619 610768700B;AIRBAG TENDINA LATERALE SINISTRA SX OPEL ASTRA J;AIRBAG TENDINA LATERALE SINISTRO SX LATO PASSEGGERO 610768700B 13251619 139314052;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18585;13251620  610768701B;AIRBAG TENDINA LATERALE DESTRA DX OPEL ASTRA J;AIRBAG TENDINA LATERALE DESTRA DX LATO GUIDA 610768701B 13251620 139321140;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18586;13262702;RIVESTIMENTO DESTRO TUNNEL CENTRALE OPEL ASTRA J;RIVESTIMENTO DESTRO DX CRUSCOTTO TUNNEL CENTRALE 13262702;OPEL;ASTRA;2011;Arredamenti interni e sedili
18587;13303933;MODANATURA MONTANTE PORTA POST DX OPEL ASTRA J;MODANATURA ESTERNA MONTANTE CENTRALE PORTA POSTERIORE DESTRA 13303933;OPEL;ASTRA;2011;Accessori esterni carrozzeria
18590;55575315;CENTRALINA MOTORE OPEL ASTRA J 1.7 CDTI;CENTRALINA INIEZIONE MOTORE ECU DENSO OPEL ASTRA J 55575315 275820955101 09110601981 ECOTEC 1.7 CDTI 110CV;OPEL;ASTRA;2011;Apparecchiature e comandi elettrici
18599;8981052101;CORPO FARFALLATO OPEL ASTRA J 1.7 CDTI;CORPO FARFALLATO VALVOLA A FARFALLA 1.7 CDTI 110CV/81KW 8981052101;OPEL;ASTRA;2011;Aspirazione, iniezione e scarico
18601;1582A038;VALVOLA EGR OPEL ASTRA J 1.7 CDTI;VALVOLA EGR 1.7 CDTI ECOTEC 81kW/110CV 1582A038;OPEL;ASTRA;2011;Aspirazione, iniezione e scarico
18603;13248600;SUPPORTO CAMBIO ANTERIORE 1.7 CDTI OPEL ASTRA J;"SUPPORTO TIRANTE CAMBIO LATO ANTERIORE 1.7 CDTI 110CV/81KW 
13248600";OPEL;ASTRA;2011;Motore e supporti vari
18604;8980147432;MOTORINO AVVIAMENTO 1.7 CDTI OPEL ASTRA J;MOTORINO DI AVVIAMENTO 1.7 CDTI DA 101 CV A 131 CV OPEL ASTRA 8980147432 S114925B COMPATIBILE CON OPEL HONDA CHEVROLET;OPEL;ASTRA;2011;Clima generatore e avviamento
18605;687605663R;DIFFUSORE ARIA RENAULT CLIO 4;DIFFUSORE ARIA CRUSCOTTO RENAULT CLIO 4 687605663R MONTABILE SIA A DESTRA SIA A SINISTRA;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18610;8200293858;PANNELLO PORTA POSTERIORE SINISTRA RENAULT CLIO 3;PANNELLO PORTA POSTERIORE SINISTRA SX 8200293858;RENAULT;CLIO 3;2009;Arredamenti interni e sedili
18614;254218614R 809602123R;PULSANTE ALZAVETRO ANTERIORE DESTRO RENAULT CLIO 4;PULSANTE ALZAVETRO ANTERIORE DESTRO DX 254218614R 809602123R;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18616;254218614R 829614619R;PULSANTE ALZAVETRO POSTERIORE DX SX RENAULT CLIO 4;PULSANTE ALZAVETRO POSTERIORE SIA DESTRO DX SIA SINISTRO SX ORIGINALE 254218614R 829614619R;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18619;241262939R;CABLAGGIO PORTA POSTERIORE SINISTRA RENAULT CLIO 4;INISIEME CAVI (IMPIANTO) CABLAGGIO DELLA PORTA POSTERIORE SINISTRA SX 241262939R (OCCHIO FOTO);RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18621;827010501R;ALZAVETRO POSTERIORE SINISTRO RENAULT CLIO 4;ALZAVETRO ALZACRISTALLI (CREMAGLIERA CON MOTORINO) DELLA PORTA POSTERIORE SINISTRA SX 827010501R;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18622;227709604R;SENSORE PRESSIONE GAS DI SCARICO RENAULT CLIO 4;SENSORE DI PRESSIONE GAS DI SCARICO 227709604R 1.5 DCI CLIO 4 COMPATIBILE CON MOTORI 1.5 1.9 2.0 DCI DACIA OPEL RENAULT E NISSAN;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18624;823305938R;GUARNIZIONE VETRO PORTA POSTERIORE DESTRA CLIO 4;GUARNIZIONE GUIDA VETRO PORTA POSTERIORE DESTRA DX CON RASCHIAVETRO CROMATA 823305938R;RENAULT;CLIO 4;2015;Accessori esterni carrozzeria
18625;;GUARNIZIONE VETRO PORTA POSTERIORE DESTRA CLIO 4;GUARNIZIONE GUIDA VETRO PORTA POSTERIORE DESTRA DX CON RASCHIAVETRO CROMATA;RENAULT;CLIO 4;2015;Accessori esterni carrozzeria
18626;;GIUNTO OMOCINETICO SINISTRO RENAULT CLIO 4;GIUNTO OMOCINETICO SEMIASSE SINISTRO SX 1.5 DCI ORIGINALE;RENAULT;CLIO 4;2015;Cambio e trasmissioni
18627;;SEMIASSE INTERMEDIO RENAULT CLIO 4;SEMIASSE INTERMEDIO DESTRO DX 1.5 DCI;RENAULT;CLIO 4;2015;Cambio e trasmissioni
18628;682408065R 1136198X;RIVESTIMENTO QUADRO STRUMENTI RENAULT CLIO 4;RIVESTIMENTO SUPERIORE QUADRO STRUMENTI CRUSCOTTO 682408065R 1136198X;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18630;465033591R;PEDALE FRIZIONE RENAULT CLIO 4;PEDALE FRIZIONE 465033591R;RENAULT;CLIO 4;2015;Comando freni e frizione
18632;465013423R;PEDALE FRENO RENAULT CLIO 4;PEDALE DEL FRENO 465013423R;RENAULT;CLIO 4;2015;Comando freni e frizione
18636;689219428R;VANO PORTAOGGETTI SINISTRO RENAULT CLIO 4;RIVESTIMENTO CRUSCOTTO INFERIORE CLIO 4 VANO PORTA OGGETTI SINISTRO SX 689219428R;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18640;403886782R;CENTRALINA PORTAFUSIBILI RENAULT CLIO 4;CENTRALINA PORTA FUSIBILI 1.5 DCI 403886782R;RENAULT;CLIO 4;2015;Apparecchiature e comandi elettrici
18646;769138331R 769142543R;RIVESTIMENTO MONTANTE CENTRALE RENAULT CLIO 4;RIVESTIMENTO INTERNO MONTANTE CENTRALE 769138331R 769153048R E SINISTRO SX 769142543R 769164959R;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18647;769536041R 769545372R;RIVESTIMENTO BATTITACCO POSTERIORE RENAULT CLIO 4;RIVESTIMENTO BATTITACCO POSTERIORE DESTRO DX 769536041R E SINISTRO SX 769545372R;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18648;360102121R;FRENO A MANO RENAULT CLIO 4;FRENO A MANO 360102121R;RENAULT;CLIO 4;2015;Comando freni e frizione
18649;849202796R;RIVESTIMENTO BATTIVALIGIA RENAULT CLIO 4;RIVESTIMENTO INTERNO BATTIVALIGIA VANO BAGAGLI 849202796R;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18652;484710813R 484724749R;RIVESTIMENTO PIANTONE STERZO RENAULT CLIO 4;RIVESTIMENTO RIPARO PIANTONE STERZO CLIO 4 484710813R 484724749R SUPERIORE E INFERIORE;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18653;488105110R;PIANTONE STERZO RENAULT CLIO 4;PIANTONE STERZO CLIO 4 488105110R SERVOSTERZO ELETTRICO;RENAULT;CLIO 4;2015;Sterzo
18655;622230005R;SUPPORTO FARO ANTERIORE SINISTRO RENAULT CLIO 4;STAFFA SUPPORTO FARO 622230005R PROIETTORE ANTERIORE SINISTRO SX;RENAULT;CLIO 4;2015;Motore e supporti vari
18656;214760021R;RIVESTIMENTO BATTICOFANO ANTERIORE RENAULT CLIO 4;RIVESTIMENTO BATTICOFANO ANTERIORE 214760021R;RENAULT;CLIO 4;2015;Accessori esterni carrozzeria
18658;272706952R;STUFA RENAULT CLIO 4;STUFA RENAULT CLIO 4 272706952R SCATOLA DEL RISCALDAMENTO CLIMATIZZATORE AUTOMATICO;RENAULT;CLIO 4;2015;Clima generatore e avviamento
18660;769524497R 769519190R;RIVESTIMENTO BATTITACCO ANTERIORE RENAULT CLIO 4;RIVESTIMENTO BATTITACCO ANTERIORE CLIO 4 769519190R 769524497R SINISTRO SX E DESTRO DX;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18667;180029347R;PEDALE ACCELERATORE RENAULT CLIO 4;PEDALE ACCELERATORE 180029347R;RENAULT;CLIO 4;2015;Comando freni e frizione
18670;472104788R;SERVOFRENO RENAULT CLIO 4;SERVOFRENO 472104788R CON POMPA FRENI 1.5 DCI E VASCHETTA OLIO COMPATIBILE CON 1.2 BENZINA;RENAULT;CLIO 4;2015;Comando freni e frizione
18676;;TIRANTE PORTA POSTERIORE SINISTRA RENAULT CLIO 4;TIRANTE FERMOPORTA ARRESTO PORTA POSTERIORE SINISTRA SX;RENAULT;CLIO 4;2015;Parti carrozzeria e cristalli
18678;678705911R;TRAVERSA SOSTEGNO CRUSCOTTO RENAULT CLIO 4;TRAVERSA SOSTEGNO PLANCIA CRUSCOTTO 678705911R;RENAULT;CLIO 4;2015;Scocca e  lamierati
18679;;TUBI ARIA ABITACOLO RENAULT CLIO 4;KIT CONDOTTO AERAZIONE CLIMA TUBI ARIA ABITACOLO;RENAULT;CLIO 4;2015;Vaschette e tubazioni varie
18680;689311750R;RIVESTIMENTO CONSOLE CENTRALE RENAULT CLIO 4;MODANATURA 689311750R RIVESTIMENTO TUNNEL MOBILETTO CENTRALE;RENAULT;CLIO 4;2015;Arredamenti interni e sedili
18682;13250834;SEMIASSE SINISTRO OPEL ASTRA J;SEMIASSE SINISTRO SX 1.7 CDTI 13250834 ORIGINALE;OPEL;ASTRA;2011;Cambio e trasmissioni
18683;51808106;SEMIASSE SINISTRO FIAT GRANDE PUNTO;SEMIASSE SINISTRO 51808106 51947835 SX 1.3 MULTIJET;FIAT;GRANDE PUNTO;2009;Cambio e trasmissioni
18686;;SEMIASSE DESTRO FIAT GRANDE PUNTO;SEMIASSE DESTRO DX 1.3 MULTIJET 46308522 51947833 55197730;FIAT;GRANDE PUNTO;2009;Cambio e trasmissioni
